County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Rusk County,1,100.00,0.00,0.00,0.00,0.00,0.00,17.70,64.30,16.10,1.00,0.70
Rusk County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,95.80,1.70,0.60,0.40
Russell County,4,100.00,33.33,0.00,66.67,0.00,0.00,42.90,49.50,5.00,0.60,0.80
Rutherford County,2,100.00,0.00,0.00,100.00,0.00,0.00,9.90,83.80,4.10,0.40,0.60
Rutherford County,2,100.00,50.00,0.00,50.00,0.00,0.00,14.00,73.60,7.20,0.50,3.30
Rutland County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.60,95.90,1.30,0.30,0.70
Sabine Parish County,1,0.00,100.00,0.00,0.00,0.00,0.00,16.90,68.20,3.80,8.70,0.30
Sacramento County,35,91.18,45.45,18.18,33.33,3.03,0.00,10.90,46.60,22.50,1.50,15.80
Saginaw County,3,66.67,0.00,0.00,66.67,0.00,0.00,19.40,70.00,8.10,0.50,1.30
Saint Charles County,3,100.00,0.00,0.00,100.00,0.00,0.00,4.70,87.90,3.10,0.30,2.50
Saint Clair County,4,100.00,25.00,0.00,75.00,0.00,0.00,9.50,85.90,2.30,0.40,0.80
Saint Clair County,4,100.00,75.00,0.00,25.00,0.00,0.00,30.20,62.50,3.80,0.30,1.40
Saint Clair County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.60,91.60,3.20,0.50,0.60
Saint Francis County,3,100.00,66.67,0.00,33.33,0.00,0.00,52.70,41.10,4.40,0.70,0.60
Saint Francois County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.50,92.30,1.40,0.40,0.40
Saint Johns County,5,80.00,0.00,0.00,100.00,0.00,0.00,5.70,84.00,6.10,0.30,2.60
Saint Joseph County,4,100.00,50.00,25.00,25.00,0.00,0.00,13.20,74.20,8.20,0.50,2.30
Saint Joseph County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.80,87.10,7.20,0.60,0.80
Saint Lawrence County,1,100.00,0.00,0.00,0.00,0.00,100.00,2.50,92.20,2.20,1.00,1.20
Saint Louis County,5,100.00,0.00,0.00,100.00,0.00,0.00,1.60,91.50,1.50,2.30,1.10
Saint Louis County,40,97.50,74.36,0.00,25.64,0.00,0.00,23.90,67.60,2.70,0.20,4.00
Saint Lucie County,9,100.00,66.67,22.22,11.11,0.00,0.00,20.20,59.50,17.60,0.60,1.90
Saint Mary's County,2,100.00,0.00,0.00,100.00,0.00,0.00,14.50,75.30,4.70,0.40,2.80
Saline County,3,100.00,0.00,0.00,100.00,0.00,0.00,6.60,86.60,4.20,0.60,1.10
Saline County,3,100.00,0.00,0.00,100.00,0.00,0.00,3.60,80.30,10.90,0.80,2.50
Salt Lake County,38,94.74,16.22,16.22,64.86,0.00,0.00,2.00,72.60,17.80,1.30,3.90
Sampson County,3,100.00,0.00,0.00,100.00,0.00,0.00,27.00,52.20,18.40,3.10,0.60
San Bernardino County,78,93.06,15.62,37.50,40.62,0.00,3.12,9.50,30.60,51.70,2.00,7.30
San Diego County,45,80.95,12.20,43.90,34.15,0.00,7.32,5.60,46.70,33.20,1.30,11.90
San Francisco County,16,87.50,25.00,37.50,31.25,0.00,6.25,5.80,41.20,15.30,0.80,34.90
San Joaquin County,19,100.00,33.33,20.00,26.67,0.00,20.00,8.10,34.00,40.50,2.00,15.90
San Juan County,7,80.00,0.00,40.00,40.00,20.00,0.00,0.90,40.60,19.50,38.80,0.60
San Juan County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.40,46.60,5.10,46.60,0.70
San Luis Obispo County,5,100.00,0.00,20.00,80.00,0.00,0.00,2.20,69.50,22.00,1.40,3.80
San Mateo County,5,100.00,0.00,40.00,60.00,0.00,0.00,3.00,40.40,25.30,0.90,27.70
San Miguel County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.90,19.00,77.20,3.10,1.10
San Patricio County,1,100.00,0.00,100.00,0.00,0.00,0.00,2.20,40.20,56.00,0.90,1.10
Sanders County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.30,90.00,2.50,4.50,0.50
Sandoval County,2,100.00,0.00,100.00,0.00,0.00,0.00,2.60,45.30,37.40,13.70,1.60
Sangamon County,1,0.00,0.00,0.00,100.00,0.00,0.00,12.40,81.40,2.20,0.20,1.90
Santa Barbara County,10,100.00,0.00,77.78,22.22,0.00,0.00,2.40,45.90,44.40,2.20,5.70
Santa Clara County,32,87.50,15.38,50.00,26.92,0.00,7.69,2.90,33.30,26.60,1.30,34.90
Santa Cruz County,2,100.00,0.00,100.00,0.00,0.00,0.00,0.90,15.60,82.80,1.30,0.70
Santa Cruz County,3,100.00,0.00,0.00,66.67,0.00,33.33,1.40,58.20,33.20,1.80,4.80
Santa Fe County,4,100.00,0.00,75.00,25.00,0.00,0.00,1.20,43.10,51.30,4.10,1.40
Santa Rosa County,3,100.00,0.00,0.00,100.00,0.00,0.00,6.60,82.80,5.20,0.90,2.20
Sarasota County,7,100.00,14.29,14.29,71.43,0.00,0.00,5.00,83.70,8.70,0.30,1.60
Schenectady County,4,100.00,0.00,0.00,100.00,0.00,0.00,11.30,75.40,6.60,0.70,4.50
Scott County,4,100.00,0.00,0.00,100.00,0.00,0.00,7.50,81.30,6.30,0.40,2.50
Scott County,5,100.00,20.00,20.00,60.00,0.00,0.00,5.80,87.30,4.20,0.30,1.10
Scott County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,82.90,4.80,1.10,6.20
Scott County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.30,97.50,0.70,0.30,0.30
Scott County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,96.80,1.30,0.30,0.20
Screven County,1,0.00,100.00,0.00,0.00,0.00,0.00,41.70,55.10,1.70,0.40,0.50
Scurry County,2,50.00,0.00,0.00,100.00,0.00,0.00,5.10,54.50,39.30,1.20,0.80
Searcy County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,93.70,2.10,1.40,0.20
Sebastian County,2,100.00,50.00,0.00,50.00,0.00,0.00,6.80,71.10,13.40,2.30,4.50
Sedgwick County,13,83.33,0.00,23.08,76.92,0.00,0.00,9.50,68.90,13.90,1.40,4.40
Seminole County,3,66.67,0.00,0.00,100.00,0.00,0.00,12.20,63.60,19.20,0.40,4.10
Seminole County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.60,65.60,4.50,19.10,0.40
Seneca County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.60,90.40,4.80,0.30,0.70
Sequoyah County,4,75.00,0.00,0.00,75.00,25.00,0.00,2.00,64.20,3.80,21.30,0.60
Sevier County,3,100.00,0.00,0.00,100.00,0.00,0.00,1.20,90.80,5.60,0.50,1.20
Shasta County,18,94.44,0.00,5.56,77.78,5.56,11.11,1.10,80.90,9.40,3.10,3.00
Shawnee County,5,100.00,20.00,20.00,40.00,20.00,0.00,8.80,74.80,11.60,1.40,1.40
Sheboygan County,2,100.00,50.00,0.00,50.00,0.00,0.00,1.80,85.60,6.00,0.50,5.10
Shelby County,2,100.00,0.00,0.00,100.00,0.00,0.00,12.10,78.50,6.00,0.40,2.20
Shelby County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.20,93.00,3.90,0.30,0.80
Shelby County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.70,81.00,8.70,0.50,1.00
Shelby County,21,95.24,70.00,5.00,25.00,0.00,0.00,53.30,37.20,6.00,0.40,2.60
Shelby County,1,100.00,0.00,0.00,100.00,0.00,0.00,17.60,62.80,18.00,0.90,1.00
Sheridan County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.40,82.70,4.60,10.30,0.30
Sherman County,1,0.00,100.00,0.00,0.00,0.00,0.00,1.20,55.30,42.20,1.60,0.60
Sierra County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.80,66.50,29.40,2.50,0.50
Silver Bow County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,91.10,4.20,2.10,0.70
Simpson County,1,100.00,0.00,0.00,100.00,0.00,0.00,35.70,61.50,1.60,0.30,0.40
Siskiyou County,4,100.00,0.00,0.00,100.00,0.00,0.00,1.40,77.50,11.90,4.70,1.30
Smith County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.10,93.40,2.60,0.50,0.30
Smith County,1,100.00,0.00,100.00,0.00,0.00,0.00,17.90,60.70,18.70,0.80,1.50
Snohomish County,9,88.89,0.00,12.50,75.00,12.50,0.00,3.10,72.10,9.70,1.60,10.20
Socorro County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.30,35.80,49.30,13.30,1.50
Solano County,10,88.89,40.00,40.00,20.00,0.00,0.00,14.80,39.60,25.60,1.30,15.60
Somerset County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.00,1.00,0.50,0.70
Somerset County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.80,94.80,1.40,0.10,0.30
Sonoma County,3,100.00,0.00,66.67,33.33,0.00,0.00,1.90,64.60,26.10,2.20,4.30
Spalding County,2,100.00,0.00,0.00,100.00,0.00,0.00,33.20,60.00,4.50,0.40,0.90
Spartanburg County,8,100.00,37.50,0.00,62.50,0.00,0.00,21.00,69.00,6.40,0.40,2.30
Spokane County,20,89.47,5.88,0.00,82.35,5.88,5.88,1.90,85.60,5.20,1.70,2.30
Spotsylvania County,1,100.00,100.00,0.00,0.00,0.00,0.00,16.10,70.10,8.70,0.40,2.70
Stafford County,1,100.00,0.00,0.00,100.00,0.00,0.00,18.00,64.80,11.30,0.70,3.30
Stanislaus County,17,88.24,11.76,47.06,35.29,0.00,5.88,3.30,44.30,44.10,1.90,5.90
Stark County,1,100.00,0.00,0.00,0.00,100.00,0.00,1.70,89.50,4.90,1.30,1.40
Stark County,3,33.33,0.00,0.00,100.00,0.00,0.00,7.80,87.10,1.90,0.30,0.90
Starke County,2,100.00,0.00,0.00,0.00,0.00,0.00,0.40,94.50,3.40,0.50,0.30
Starr County,2,100.00,50.00,50.00,0.00,0.00,0.00,0.40,3.80,95.80,0.30,0.30
Stearns County,2,100.00,0.00,0.00,50.00,0.00,0.00,3.90,89.20,3.10,0.40,2.20
Stevens County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.30,89.90,4.20,1.40,1.80
Stevens County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,86.80,3.50,5.80,0.70
Stewart County,1,100.00,0.00,0.00,100.00,0.00,0.00,51.50,27.60,24.50,0.60,1.00
Stillwater County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.30,93.60,3.30,1.00,0.40
Stokes County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.20,91.40,2.90,0.50,0.40
Stone County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.40,95.00,1.80,0.80,0.40
Stone County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,95.20,2.00,0.70,0.40
Stone County,1,100.00,0.00,0.00,100.00,0.00,0.00,19.80,76.80,1.70,0.50,0.30
Strafford County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,91.70,2.20,0.30,3.20
Stutsman County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,93.50,2.10,1.60,0.70
Suffolk County,10,100.00,66.67,22.22,0.00,0.00,0.00,24.70,46.70,21.80,0.80,8.90
Suffolk County,6,100.00,33.33,0.00,66.67,0.00,0.00,8.30,69.30,18.20,0.60,4.00
Suffolk County,1,100.00,0.00,0.00,100.00,0.00,0.00,42.90,49.90,3.70,0.40,1.80
Sullivan County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.70,92.00,1.80,0.30,0.30
Sullivan County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.70,95.50,1.50,0.40,0.70
Sullivan County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.20,93.50,1.80,0.40,0.40
Sullivan County,5,100.00,0.00,0.00,100.00,0.00,0.00,2.40,93.70,1.70,0.40,0.70
Summit County,11,63.64,20.00,0.00,50.00,0.00,10.00,14.80,78.40,1.90,0.20,2.80
Sumner County,2,100.00,50.00,0.00,50.00,0.00,0.00,7.10,85.70,4.40,0.40,1.40
Sumter County,3,100.00,0.00,33.33,66.67,0.00,0.00,8.30,84.60,5.60,0.40,0.80
Sumter County,2,100.00,50.00,0.00,50.00,0.00,0.00,47.10,46.40,3.80,0.50,1.30
Sussex County,4,100.00,33.33,33.33,33.33,0.00,0.00,12.80,75.00,9.30,1.20,1.20
Sussex County,1,100.00,100.00,0.00,0.00,0.00,0.00,57.50,38.60,2.80,0.40,0.50
Sutter County,2,100.00,0.00,50.00,0.00,0.00,50.00,2.50,47.80,29.90,2.30,16.50
Talladega County,3,100.00,33.33,0.00,66.67,0.00,0.00,32.50,63.40,2.30,0.40,0.40
Tallapoosa County,1,100.00,0.00,0.00,100.00,0.00,0.00,27.30,68.90,2.30,0.40,0.50
Tangipahoa Parish County,3,100.00,0.00,0.00,100.00,0.00,0.00,30.20,63.90,3.90,0.40,0.80
Taos County,3,100.00,0.00,100.00,0.00,0.00,0.00,0.80,36.10,56.10,7.40,1.00
Tarrant County,38,86.11,34.29,25.71,37.14,0.00,2.86,16.20,49.30,27.80,0.90,5.30
Tate County,1,100.00,100.00,0.00,0.00,0.00,0.00,31.30,64.70,2.50,0.30,0.30
Tattnall County,2,50.00,0.00,0.00,100.00,0.00,0.00,29.50,58.80,10.50,0.60,0.50
Taylor County,3,100.00,33.33,0.00,66.67,0.00,0.00,7.80,65.20,23.60,1.00,1.90
Taylor County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,96.30,0.90,0.30,0.40
Tazewell County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.30,94.20,2.20,0.30,0.90
Tehama County,7,100.00,0.00,42.86,42.86,14.29,0.00,1.00,69.40,24.10,3.40,1.40
Terrebonne Parish County,7,100.00,16.67,33.33,50.00,0.00,0.00,19.00,67.60,4.90,5.70,1.10
Thomas County,2,100.00,100.00,0.00,0.00,0.00,0.00,36.80,57.80,3.40,0.50,0.90
Thomas County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,91.40,5.40,1.00,0.70
Thurston County,6,100.00,0.00,0.00,40.00,0.00,40.00,3.40,76.30,8.40,1.70,5.70
Tioga County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.90,96.10,1.30,0.30,0.50
Tippecanoe County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.90,78.10,8.00,0.40,7.20
Tishomingo County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.80,93.40,2.60,0.40,0.20
Todd County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.50,85.90,4.10,0.20,0.20
Todd County,3,100.00,0.00,0.00,0.00,100.00,0.00,0.30,10.40,3.70,86.20,0.30
Tolland County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,86.20,5.00,0.20,4.10
Tom Green County,5,100.00,0.00,60.00,40.00,0.00,0.00,4.60,55.10,38.10,1.10,1.30
Tompkins County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.40,77.90,4.70,0.40,10.40
Tooele County,1,100.00,0.00,0.00,0.00,0.00,100.00,0.90,83.70,11.80,1.30,0.80
Toole County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,88.50,3.00,5.60,0.60
Transylvania County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.10,90.30,3.20,0.40,0.50
Travis County,29,93.10,14.29,32.14,50.00,0.00,3.57,8.90,49.70,33.90,1.30,6.50
Trigg County,1,0.00,0.00,0.00,100.00,0.00,0.00,7.70,88.30,1.70,0.40,0.40
Trinity County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,82.60,7.30,5.30,0.90
Trinity County,1,0.00,0.00,0.00,100.00,0.00,0.00,9.80,78.70,9.20,0.80,0.40
Troup County,3,100.00,0.00,0.00,100.00,0.00,0.00,35.40,57.80,3.70,0.40,1.80
Trumbull County,5,100.00,25.00,25.00,50.00,0.00,0.00,8.60,87.50,1.60,0.20,0.50
Tulare County,15,93.33,7.14,64.29,28.57,0.00,0.00,2.20,30.30,62.90,2.80,4.00
Tulsa County,33,90.62,15.62,6.25,65.62,9.38,3.12,10.80,63.70,11.80,6.70,2.80
Tuolumne County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.10,81.10,11.50,2.20,1.30
Tuscaloosa County,1,0.00,0.00,0.00,100.00,0.00,0.00,31.00,63.20,3.30,0.30,1.50
Tuscarawas County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.90,95.10,2.40,0.40,0.30
Ulster County,1,100.00,0.00,0.00,0.00,0.00,0.00,6.80,80.20,9.80,0.40,2.00
Union Parish County,1,0.00,0.00,0.00,100.00,0.00,0.00,26.20,68.70,4.40,0.50,0.20
Union County,1,0.00,100.00,0.00,0.00,0.00,0.00,32.60,61.50,3.60,0.60,0.80
Union County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,94.60,2.80,0.30,0.60
Union County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,95.90,1.40,0.30,0.30
Union County,1,100.00,0.00,0.00,100.00,0.00,0.00,12.10,73.50,11.00,0.60,2.20
Union County,2,100.00,0.00,0.00,100.00,0.00,0.00,31.70,65.40,1.20,0.30,0.30
Unknown County,1,100.00,0.00,0.00,0.00,0.00,100.00,31.70,65.40,1.20,0.30,0.30
Upshur County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.50,80.80,7.90,1.10,0.50
Upshur County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,96.30,1.20,0.20,0.50
Utah County,5,100.00,0.00,0.00,100.00,0.00,0.00,0.70,83.30,11.20,0.80,1.60
Val Verde County,1,0.00,0.00,100.00,0.00,0.00,0.00,2.00,16.80,80.40,0.90,0.80
Valencia County,4,50.00,50.00,50.00,0.00,0.00,0.00,1.70,34.30,59.50,5.60,0.90
Van Buren County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.50,93.50,3.10,0.90,0.40
Van Wert County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,94.60,2.80,0.20,0.40
Vance County,1,100.00,0.00,0.00,100.00,0.00,0.00,50.90,40.90,7.20,0.70,0.50
Vanderburgh County,8,100.00,25.00,0.00,75.00,0.00,0.00,9.40,84.40,2.50,0.30,1.30
Ventura County,8,87.50,16.67,50.00,33.33,0.00,0.00,2.20,46.60,42.00,1.90,7.50
Vermilion Parish County,1,100.00,100.00,0.00,0.00,0.00,0.00,14.70,78.30,3.20,0.40,2.40
Vermilion County,1,100.00,100.00,0.00,0.00,0.00,0.00,13.50,79.30,4.70,0.40,0.80
Vernon Parish County,1,100.00,100.00,0.00,0.00,0.00,0.00,14.80,69.80,9.60,1.70,2.00
Vernon County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.80,94.20,2.00,0.80,0.60
Victoria County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.90,46.20,45.30,0.90,1.40
Vigo County,5,80.00,0.00,0.00,100.00,0.00,0.00,7.20,85.90,2.60,0.40,2.00
Virginia Beach County,8,85.71,50.00,12.50,25.00,12.50,0.00,20.00,62.90,7.70,0.50,6.80
Volusia County,22,95.45,9.09,18.18,72.73,0.00,0.00,11.10,73.80,12.20,0.50,1.90
Wabash County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,94.60,2.40,0.70,0.50
Wadena County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.00,94.80,1.70,0.70,0.40
Wagoner County,2,0.00,0.00,0.00,100.00,0.00,0.00,3.90,72.40,5.60,10.30,1.60
Wake County,11,100.00,50.00,0.00,50.00,0.00,0.00,21.30,61.00,10.00,0.80,6.40
Walker County,2,0.00,0.00,0.00,100.00,0.00,0.00,6.40,89.40,2.30,0.50,0.40
Walker County,4,100.00,0.00,25.00,75.00,0.00,0.00,4.50,91.30,2.00,0.30,0.50
Walker County,1,100.00,0.00,0.00,0.00,0.00,0.00,23.10,57.10,17.80,0.80,1.20
Walla Walla County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.10,72.50,21.20,1.40,1.70
Waller County,2,100.00,50.00,0.00,50.00,0.00,0.00,25.60,43.30,29.80,1.60,0.80
Walton County,5,100.00,75.00,0.00,25.00,0.00,0.00,17.00,76.50,3.90,0.40,1.40
Walworth County,2,50.00,50.00,0.00,50.00,0.00,0.00,1.30,85.60,11.10,0.50,1.10
Ward County,2,100.00,100.00,0.00,0.00,0.00,0.00,4.90,42.20,51.50,1.70,0.70
Warren County,2,0.00,0.00,0.00,100.00,0.00,0.00,9.40,80.30,5.10,0.30,3.20
Warren County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.50,83.50,8.40,0.20,2.80
Warren County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,86.40,8.30,0.40,0.70
Warrick County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,93.20,1.70,0.30,2.00
Wasco County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.60,75.70,17.00,4.20,1.00
Washington Parish County,1,0.00,0.00,0.00,0.00,0.00,0.00,30.40,65.90,2.10,0.40,0.30
Washington County,2,100.00,0.00,0.00,100.00,0.00,0.00,24.60,65.10,1.40,7.90,0.10
Washington County,8,100.00,14.29,0.00,85.71,0.00,0.00,3.50,72.20,16.20,1.50,2.60
Washington County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,91.70,5.60,0.30,0.50
Washington County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,96.90,1.40,0.20,0.30
Washington County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.30,84.10,3.80,0.50,5.50
Washington County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.40,94.40,1.30,0.50,0.30
Washington County,3,100.00,33.33,0.00,66.67,0.00,0.00,71.40,26.30,1.30,0.20,0.70
Washington County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,95.20,2.50,0.30,0.30
Washington County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,95.30,1.10,0.30,0.70
Washington County,2,0.00,0.00,0.00,50.00,50.00,0.00,2.70,74.00,5.70,10.60,1.70
Washington County,14,100.00,7.14,0.00,92.86,0.00,0.00,2.20,67.80,16.30,1.10,9.90
Washington County,2,100.00,100.00,0.00,0.00,0.00,0.00,3.20,92.80,1.50,0.10,0.90
Washington County,6,100.00,0.00,0.00,100.00,0.00,0.00,4.30,89.40,3.30,0.40,1.40
Washington County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.50,95.60,1.40,0.20,0.60
Washington County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.90,94.40,1.90,0.30,0.90
Washington County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.10,93.40,3.00,0.40,1.20
Washita County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.20,83.90,9.60,3.90,0.30
Washoe County,19,100.00,11.11,61.11,22.22,5.56,0.00,2.60,64.20,23.50,2.10,5.80
Watauga County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.90,92.10,3.50,0.30,1.10
Watonwan County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.70,74.50,22.90,1.30,1.20
Waukesha County,4,100.00,0.00,0.00,100.00,0.00,0.00,1.40,89.40,4.60,0.30,3.30
Waupaca County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,94.80,3.00,0.70,0.50
Waushara County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.10,89.80,6.40,0.80,0.50
Wayne County,1,100.00,0.00,0.00,100.00,0.00,0.00,20.70,71.00,6.30,0.60,0.60
Wayne County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,94.00,2.70,0.30,0.40
Wayne County,25,88.00,66.67,4.76,28.57,0.00,0.00,39.30,50.00,5.70,0.50,3.00
Wayne County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.30,90.30,4.00,0.40,0.70
Wayne County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.70,94.20,1.80,0.20,0.90
Wayne County,1,100.00,0.00,0.00,0.00,0.00,0.00,3.60,90.90,4.20,0.30,0.60
Wayne County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,97.40,0.70,0.30,0.40
Waynesboro County,1,100.00,100.00,0.00,0.00,0.00,0.00,11.70,77.80,7.00,0.50,0.90
Webb County,7,83.33,0.00,83.33,16.67,0.00,0.00,0.70,3.70,95.20,0.60,0.70
Weber County,12,100.00,0.00,50.00,50.00,0.00,0.00,1.60,77.10,17.70,1.20,1.50
Webster County,3,100.00,0.00,0.00,100.00,0.00,0.00,4.20,88.80,4.30,0.40,0.90
Weld County,11,90.91,9.09,54.55,36.36,0.00,0.00,1.40,66.70,28.80,1.70,1.50
West Baton Rouge Parish County,1,0.00,100.00,0.00,0.00,0.00,0.00,38.50,57.30,2.70,0.20,0.50
Westchester County,5,60.00,100.00,0.00,0.00,0.00,0.00,16.10,55.00,23.70,0.80,6.20
Westmoreland County,4,100.00,25.00,0.00,75.00,0.00,0.00,2.50,94.30,1.10,0.10,0.90
Whatcom County,2,50.00,0.00,50.00,50.00,0.00,0.00,1.20,79.90,8.90,3.20,4.30
Wheeler County,1,0.00,0.00,0.00,100.00,0.00,0.00,38.40,55.80,5.40,0.20,0.30
White County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.60,88.40,4.20,0.70,0.70
White County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.80,90.20,7.70,0.60,0.40
White County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.00,93.80,2.10,0.50,0.30
Whiteside County,1,0.00,100.00,0.00,0.00,0.00,0.00,1.70,84.90,11.80,0.40,0.50
Whitfield County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.40,60.10,33.30,1.40,1.60
Whitley County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,96.10,1.00,0.30,0.40
Wichita County,2,100.00,50.00,50.00,0.00,0.00,0.00,10.90,66.60,18.30,1.30,2.20
Wicomico County,2,100.00,50.00,0.00,50.00,0.00,0.00,25.20,64.80,5.20,0.50,3.00
Wilbarger County,1,100.00,0.00,0.00,0.00,0.00,0.00,8.70,59.90,28.70,1.50,1.00
Wilkes County,3,100.00,0.00,0.00,100.00,0.00,0.00,4.50,88.20,5.80,0.40,0.50
Will County,2,100.00,50.00,0.00,50.00,0.00,0.00,11.80,65.30,16.60,0.40,5.40
Williams County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,93.10,4.10,0.30,0.60
Williamsburg County,1,100.00,100.00,0.00,0.00,0.00,0.00,65.10,31.50,2.30,0.40,0.40
Williamson County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.30,90.70,2.40,0.40,1.00
Williamson County,3,100.00,0.00,0.00,100.00,0.00,0.00,4.50,85.60,4.70,0.30,3.70
Williamson County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.80,61.70,23.90,0.90,6.00
Wilson County,1,100.00,100.00,0.00,0.00,0.00,0.00,39.80,48.40,10.10,0.60,1.10
Wilson County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.70,58.20,38.60,0.90,0.50
Winchester County,2,100.00,0.00,0.00,100.00,0.00,0.00,11.60,67.50,16.40,0.90,2.70
Winkler County,1,0.00,0.00,100.00,0.00,0.00,0.00,3.00,38.20,58.20,1.80,0.60
Winn Parish County,2,100.00,0.00,0.00,100.00,0.00,0.00,30.90,65.20,1.90,0.80,0.40
Winnebago County,4,100.00,66.67,0.00,33.33,0.00,0.00,12.90,70.80,12.00,0.50,2.60
Winnebago County,6,83.33,16.67,0.00,83.33,0.00,0.00,2.00,89.60,3.90,0.70,2.70
